Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      145    0.002    0.000    0.138    0.001 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:110(move)
      254    0.002    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:276(_optimize_charset)
     5202    0.002    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:51(<genexpr>)
      288    0.002    0.000    0.006    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:205(_legacy_cmpkey)
       24    0.002    0.000    0.002    0.000 {built-in method nt._getfinalpathname}
     1531    0.002    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\cursors.py:100(__eq__)
      150    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
       57    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      820    0.002    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:211(<listcomp>)
2171/2167    0.002    0.000    0.006    0.000 {method 'join' of 'str' objects}
     1531    0.002    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:229(can_hover)
      174    0.002    0.000    0.044    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Game.py:131(goToNextPlayerRound)
      482    0.002    0.000    0.005    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(__init__)
     1531    0.002    0.000    0.005    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\cursors.py:103(__ne__)
       42    0.002    0.000    0.118    0.003 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Piece.py:23(loadImageGorup)
     5722    0.002    0.000    0.002    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:35(<lambda>)
     2581    0.002    0.000    0.011    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\random.py:366(randint)
      174    0.002    0.000    0.003    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Dealer.py:50(receiveArmyFromPossessedTerritories)
     1630    0.002    0.000    0.002    0.000 {built-in method builtins.any}
     4085    0.002    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:164(__getitem__)
     3080    0.002    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
  690/157    0.002    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:174(getwidth)
     3062    0.002    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:50(update)
        1    0.002    0.002    0.018    0.018 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:61(initsysfonts_win32)
     4094    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     3018    0.002    0.000    0.009    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:75(<genexpr>)
      380    0.002    0.000    0.007    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:119(_parse_font_entry_win)
       34    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
     1531    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_appearance_theme.py:98(check_need_to_rebuild_data_manually_changed)
      471    0.001    0.000    0.004    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\copy.py:66(copy)
   104/49    0.001    0.000    0.209    0.004 <frozen importlib._bootstrap>:1022(_find_and_load)
     1365    0.001    0.000    0.007    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:93(isHostileNeighbour)
