Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1500    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1457    0.001    0.000    0.002    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:39(loseTroops)
  1444/45    0.001    0.000    0.003    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:40(canMoveTroopsBetweenFriendlyTerriroriesAux)
 1399/129    0.001    0.000    0.003    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:47(<lambda>)
     1393    0.000    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:160(__len__)
     1365    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:24(canAttack)
     1365    0.004    0.000    0.006    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:34(getHostileTerritoryNeighbours)
     1365    0.001    0.000    0.007    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:93(isHostileNeighbour)
     1303    0.001    0.000    0.001    0.000 {built-in method builtins.all}
     1270    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     1230    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:797(process_event)
     1229    0.000    0.000    0.000    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:27(<lambda>)
     1229    0.000    0.000    0.000    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:113(<lambda>)
     1224    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:98(_compare)
     1178    0.003    0.000    0.013    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:73(rollDices)
     1178    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
     1165    0.001    0.000    0.001    0.000 {built-in method sys.intern}
     1050    0.001    0.000    0.011    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2067(dist_factory)
     1044    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
     1032    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      972    0.001    0.000    0.007    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2044(<genexpr>)
      968    0.000    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:172(append)
      959    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:33(gainTroops)
      934    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFFE3B4A920}
      862    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2095(__bool__)
      852    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      852    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      851    0.000    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:286(tell)
      820    0.002    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:211(<listcomp>)
      816    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:84(<lambda>)
      816    0.000    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:82(__eq__)
      806    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      794    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      787    0.041    0.000    0.041    0.000 {built-in method nt.stat}
      776    0.003    0.000    0.153    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:122(attackEnemyTerritoryBlitz)
      752    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:282(<genexpr>)
      727    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\ntpath.py:34(_get_bothseps)
      697    0.006    0.000    0.215    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Game.py:125(goToNextStage)
  690/157    0.002    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:174(getwidth)
      681    0.000    0.000    0.000    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:111(__init__)
      654    0.003    0.000    0.005    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\ntpath.py:180(split)
